GAME_ID,MATCHUP,LOCATION,W,FINAL_MARGIN,SHOT_NUMBER,PERIOD,GAME_CLOCK,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,SHOT_RESULT,CLOSEST_DEFENDER,CLOSEST_DEFENDER_PLAYER_ID,CLOSE_DEF_DIST,FGM,PTS
65,0021401172,"APR 08, 2015 - MIN @ POR",A,L,-25,7,1,0:50,7.0,3,6.5,13.5,2,made,"Afflalo, Arron",201167,2.6,1,2
66,0021401172,"APR 08, 2015 - MIN @ POR",A,L,-25,8,2,11:48,11.6,1,1.5,11.1,2,made,"Blake, Steve",2581,2.7,1,2
67,0021401172,"APR 08, 2015 - MIN @ POR",A,L,-25,9,2,9:16,15.0,2,2.9,10.1,2,missed,"Afflalo, Arron",201167,1.2,0,0
68,0021401172,"APR 08, 2015 - MIN @ POR",A,L,-25,10,2,7:38,10.7,4,5.0,6.2,2,missed,"Lopez, Robin",201577,2.9,0,0
69,0021401172,"APR 08, 2015 - MIN @ POR",A,L,-25,11,2,3:09,9.8,1,3.6,19.0,2,missed,"Batum, Nicolas",201587,4.7,0,0
70,0021401172,"APR 08, 2015 - MIN @ POR",A,L,-25,12,2,1:25,13.0,3,3.6,14.2,2,missed,"Batum, Nicolas",201587,2.8,0,0
71,0021401172,"APR 08, 2015 - MIN @ POR",A,L,-25,13,3,11:15,10.5,2,2.2,16.4,2,missed,"Lopez, Robin",201577,4.1,0,0
72,0021401172,"APR 08, 2015 - MIN @ POR",A,L,-25,14,3,10:54,11.0,3,3.9,5.8,2,made,"Batum, Nicolas",201587,1.4,1,2
73,0021401172,"APR 08, 2015 - MIN @ POR",A,L,-25,15,3,9:58,7.8,2,6.3,13.5,2,missed,"Lillard, Damian",203081,2.2,0,0
74,0021401172,"APR 08, 2015 - MIN @ POR",A,L,-25,16,3,6:41,11.8,4,5.8,4.3,2,missed,"Lopez, Robin",201577,1.6,0,0
75,0021401172,"APR 08, 2015 - MIN @ POR",A,L,-25,17,3,6:12,15.4,3,3.1,4.2,2,missed,"Aldridge, LaMarcus",200746,1.0,0,0
76,0021401172,"APR 08, 2015 - MIN @ POR",A,L,-25,18,3,4:38,12.0,16,12.6,4.3,2,missed,"Lillard, Damian",203081,2.7,0,0
77,0021401172,"APR 08, 2015 - MIN @ POR",A,L,-25,20,4,6:59,21.5,0,0.0,24.8,2,made,"Crabbe, Allen",203459,6.5,1,2
78,0021401172,"APR 08, 2015 - MIN @ POR",A,L,-25,21,4,4:45,13.1,0,0.8,17.0,2,made,"Gee, Alonzo",202087,5.3,1,2
79,0021401172,"APR 08, 2015 - MIN @ POR",A,L,-25,22,4,0:57,8.6,5,5.7,5.3,2,made,"Gee, Alonzo",202087,1.9,1,2
80,0021401158,"APR 07, 2015 - MIN @ SAC",A,L,-5,1,1,9:57,15.8,0,2.0,17.3,2,made,"Casspi, Omri",201956,4.7,1,2
81,0021401158,"APR 07, 2015 - MIN @ SAC",A,L,-5,2,1,9:31,14.3,1,2.6,18.6,2,missed,"Gay, Rudy",200752,4.3,0,0
82,0021401158,"APR 07, 2015 - MIN @ SAC",A,L,-5,3,1,8:26,6.0,1,1.7,3.3,2,missed,"Evans, Reggie",2501,0.6,0,0
83,0021401158,"APR 07, 2015 - MIN @ SAC",A,L,-5,4,1,8:25,24.0,0,0.0,3.0,2,made,"Evans, Reggie",2501,0.0,1,2
84,0021401158,"APR 07, 2015 - MIN @ SAC",A,L,-5,5,1,7:36,18.8,0,0.8,2.5,2,made,"McLemore, Ben",203463,5.4,1,2
85,0021401158,"APR 07, 2015 - MIN @ SAC",A,L,-5,6,1,3:54,11.8,2,4.4,6.2,2,missed,"Williams, Derrick",202682,0.6,0,0
86,0021401158,"APR 07, 2015 - MIN @ SAC",A,L,-5,7,1,1:12,9.3,1,5.2,7.4,2,missed,"Gay, Rudy",200752,1.3,0,0
87,0021401158,"APR 07, 2015 - MIN @ SAC",A,L,-5,8,1,0:04,,0,0.8,20.1,2,made,"Gay, Rudy",200752,5.8,1,2
88,0021401158,"APR 07, 2015 - MIN @ SAC",A,L,-5,9,2,6:39,16.1,4,3.5,2.1,2,missed,"McLemore, Ben",203463,1.2,0,0
89,0021401158,"APR 07, 2015 - MIN @ SAC",A,L,-5,10,2,6:24,15.7,3,2.8,6.1,2,made,"Thompson, Jason",201574,3.2,1,2
90,0021401158,"APR 07, 2015 - MIN @ SAC",A,L,-5,11,2,2:22,9.0,2,3.9,10.2,2,missed,"Gay, Rudy",200752,2.5,0,0
91,0021401158,"APR 07, 2015 - MIN @ SAC",A,L,-5,12,2,1:56,11.0,2,2.7,4.7,2,made,"Casspi, Omri",201956,2.1,1,2
92,0021401158,"APR 07, 2015 - MIN @ SAC",A,L,-5,13,2,1:19,13.2,0,0.9,24.3,3,missed,"Stauskas, Nik",203917,6.9,0,0
93,0021401158,"APR 07, 2015 - MIN @ SAC",A,L,-5,14,3,11:45,9.4,0,1.6,5.7,2,made,"Evans, Reggie",2501,2.2,1,2
94,0021401158,"APR 07, 2015 - MIN @ SAC",A,L,-5,15,4,10:26,24.0,0,0.0,1.0,2,made,"Thompson, Jason",201574,1.9,1,2
95,0021401158,"APR 07, 2015 - MIN @ SAC",A,L,-5,16,4,9:37,12.0,1,2.0,5.5,2,made,"Miller, Andre",1889,1.3,1,2
96,0021401158,"APR 07, 2015 - MIN @ SAC",A,L,-5,17,4,8:59,7.3,1,3.6,16.4,2,missed,"Gay, Rudy",200752,2.3,0,0
97,0021401158,"APR 07, 2015 - MIN @ SAC",A,L,-5,18,4,3:51,17.2,1,2.0,4.5,2,made,"Casspi, Omri",201956,1.2,1,2
98,0021401158,"APR 07, 2015 - MIN @ SAC",A,L,-5,19,4,3:13,14.0,3,4.5,8.6,2,missed,"Gay, Rudy",200752,3.1,0,0
99,0021401158,"APR 07, 2015 - MIN @ SAC",A,L,-5,20,4,0:08,,1,1.5,6.4,2,made,"Casspi, Omri",201956,3.5,1,2
100,0021401133,"APR 03, 2015 - MIN vs. ORL",H,L,-13,1,1,10:05,17.9,3,2.9,19.6,2,missed,"Harris, Tobias",202699,4.0,0,0
101,0021401133,"APR 03, 2015 - MIN vs. ORL",H,L,-13,2,1,7:53,11.0,2,6.2,7.5,2,made,"Harris, Tobias",202699,2.0,1,2
102,0021401133,"APR 03, 2015 - MIN vs. ORL",H,L,-13,3,1,5:36,5.5,3,4.5,10.0,2,made,"Gordon, Aaron",203932,1.9,1,2
103,0021401133,"APR 03, 2015 - MIN vs. ORL",H,L,-13,4,1,2:46,7.7,2,3.5,13.6,2,missed,"Gordon, Aaron",203932,2.4,0,0
